model,change_rmse,change_mae,change_r2,move_correlation,raw_directional_accuracy_when_nonzero,raw_directional_coverage,threshold,threshold_directional_accuracy,threshold_signal_coverage,threshold_signal_count
ElasticNet,2.4378237114181167,1.5516677552738034,0.011493051505633178,0.16209422998388828,0.5,1.0,0.5,,0.0,0
ZeroChange,2.452039967047846,1.5545454545454545,-6.959127583150426e-05,,,0.0,0.5,,0.0,0
RandomForest,2.4323275749093813,1.6256353817097036,0.015945255919547763,0.19243731779977796,0.4,1.0,0.5,0.5526315789473685,0.17272727272727273,38
XGBoost,2.458708102796608,1.7002955480563369,-0.0055162130739583315,0.16415668964599217,0.39090909090909093,1.0,0.5,0.367816091954023,0.39545454545454545,87
MeanReversion20,5.648682657668552,4.475056818181819,-4.3072492738021495,0.07761271249563584,0.4409090909090909,1.0,0.5,0.425,0.9090909090909091,200
