model,train_rows,test_rows,rmse,mae,r2,directional_accuracy
Persistence,657,220,2.452039967047846,1.5545454545454545,0.8415701381718761,0.4611872146118721
RandomForest,657,220,2.639208344362383,1.8581525101018723,0.8164606009660363,0.502283105022831
XGBoost,657,220,2.769697940066346,1.9674210688205098,0.7978625558687562,0.4977168949771689
Ridge,657,220,2.9175395174576404,2.123226708294955,0.7757071401593664,0.4748858447488584
TrainRollingMean20,657,220,8.736944806135297,7.536818181818184,-1.011412470502472,0.1050228310502283
